Location,"Mortality Rate, 2014*"
"Smith County, Kansas","255.00 (232.04, 276.81)"
"Stafford County, Kansas","322.48 (292.93, 353.06)"
"Stanton County, Kansas","211.62 (186.57, 238.07)"
"Stevens County, Kansas","214.48 (192.80, 237.42)"
"Sumner County, Kansas","277.53 (259.33, 294.22)"
"Thomas County, Kansas","265.51 (241.38, 288.79)"
"Trego County, Kansas","291.84 (260.63, 325.67)"
"Wabaunsee County, Kansas","237.59 (216.74, 259.09)"
"Wallace County, Kansas","216.32 (189.29, 243.66)"
"Washington County, Kansas","232.67 (211.55, 253.33)"
"Wichita County, Kansas","216.64 (192.01, 244.48)"
"Wilson County, Kansas","328.50 (303.11, 355.28)"
"Woodson County, Kansas","291.33 (264.53, 322.45)"
"Wyandotte County, Kansas","301.46 (288.91, 314.11)"
Kentucky,"297.78 (291.25, 304.12)"
"Adair County, Kentucky","341.77 (319.02, 364.70)"
"Allen County, Kentucky","341.44 (316.61, 366.65)"
"Anderson County, Kentucky","268.38 (248.71, 287.84)"
"Ballard County, Kentucky","370.02 (341.83, 399.17)"
"Barren County, Kentucky","302.35 (284.59, 320.79)"
"Bath County, Kentucky","361.22 (329.64, 391.12)"
"Bell County, Kentucky","421.01 (396.58, 445.00)"
"Boone County, Kentucky","242.86 (229.73, 256.02)"
"Bourbon County, Kentucky","294.31 (274.76, 314.58)"
"Boyd County, Kentucky","332.91 (314.14, 351.80)"
"Boyle County, Kentucky","258.77 (242.11, 274.89)"
"Bracken County, Kentucky","326.72 (299.39, 353.86)"
"Breathitt County, Kentucky","501.28 (466.75, 539.03)"
"Breckinridge County, Kentucky","331.75 (307.74, 354.00)"
"Bullitt County, Kentucky","236.01 (221.02, 250.99)"
"Butler County, Kentucky","306.92 (283.63, 329.57)"
"Caldwell County, Kentucky","337.52 (315.09, 362.63)"
"Calloway County, Kentucky","297.91 (279.50, 316.60)"
"Campbell County, Kentucky","257.13 (244.00, 271.95)"
"Carlisle County, Kentucky","350.52 (317.65, 384.97)"
"Carroll County, Kentucky","351.27 (323.27, 379.14)"
"Carter County, Kentucky","317.37 (297.14, 338.52)"
"Casey County, Kentucky","320.52 (298.19, 344.54)"
"Christian County, Kentucky","331.67 (315.43, 349.03)"
"Clark County, Kentucky","318.24 (298.96, 338.51)"
"Clay County, Kentucky","413.87 (388.02, 442.43)"
"Clinton County, Kentucky","373.07 (342.41, 404.42)"
"Crittenden County, Kentucky","390.34 (360.81, 422.51)"
"Cumberland County, Kentucky","450.87 (414.21, 491.83)"
"Daviess County, Kentucky","249.34 (237.62, 261.88)"
"Edmonson County, Kentucky","258.66 (234.46, 282.59)"
"Elliott County, Kentucky","245.84 (222.58, 272.29)"
"Estill County, Kentucky","394.38 (368.24, 422.41)"
"Fayette County, Kentucky","235.98 (225.33, 246.46)"
"Fleming County, Kentucky","389.48 (359.12, 420.28)"
"Floyd County, Kentucky","382.16 (361.04, 403.49)"
"Franklin County, Kentucky","262.45 (248.34, 277.00)"
"Fulton County, Kentucky","405.85 (372.45, 441.00)"
"Gallatin County, Kentucky","371.81 (333.80, 408.78)"
"Garrard County, Kentucky","252.24 (232.36, 272.41)"
"Grant County, Kentucky","316.30 (293.53, 339.58)"
"Graves County, Kentucky","293.84 (277.04, 310.49)"
"Grayson County, Kentucky","344.92 (322.25, 368.06)"
"Green County, Kentucky","320.29 (291.78, 347.95)"
"Greenup County, Kentucky","312.75 (292.44, 331.53)"
"Hancock County, Kentucky","300.29 (269.58, 332.45)"
"Hardin County, Kentucky","265.59 (251.28, 279.32)"
"Harlan County, Kentucky","382.07 (360.61, 404.48)"
"Harrison County, Kentucky","380.28 (356.09, 407.38)"
"Hart County, Kentucky","313.53 (290.58, 337.93)"
"Henderson County, Kentucky","306.92 (289.66, 325.55)"
"Henry County, Kentucky","303.32 (281.20, 327.75)"
"Hickman County, Kentucky","294.31 (268.58, 323.13)"
"Hopkins County, Kentucky","363.09 (341.81, 383.47)"
"Jackson County, Kentucky","426.44 (395.98, 459.03)"
"Jefferson County, Kentucky","248.86 (240.21, 257.11)"
"Jessamine County, Kentucky","225.81 (212.33, 239.78)"
"Johnson County, Kentucky","353.60 (330.86, 377.39)"
"Kenton County, Kentucky","263.35 (250.76, 275.49)"
"Knott County, Kentucky","389.82 (360.56, 419.94)"
"Knox County, Kentucky","374.36 (350.47, 398.48)"
"Larue County, Kentucky","278.44 (258.44, 299.55)"
"Laurel County, Kentucky","333.55 (316.16, 352.07)"
"Lawrence County, Kentucky","400.49 (373.52, 429.08)"
"Lee County, Kentucky","409.35 (376.36, 442.09)"
"Leslie County, Kentucky","387.18 (355.31, 419.26)"
"Letcher County, Kentucky","412.94 (387.67, 439.83)"
"Lewis County, Kentucky","329.55 (306.71, 354.05)"
"Lincoln County, Kentucky","285.91 (265.83, 307.40)"
"Livingston County, Kentucky","359.36 (329.40, 386.16)"
"Logan County, Kentucky","314.63 (295.60, 333.67)"
"Lyon County, Kentucky","284.02 (262.40, 308.11)"
"Madison County, Kentucky","289.25 (273.74, 304.67)"
"Magoffin County, Kentucky","329.47 (302.06, 356.63)"
"Marion County, Kentucky","270.23 (252.93, 289.23)"
"Marshall County, Kentucky","325.52 (307.33, 345.59)"
"Martin County, Kentucky","425.92 (389.83, 460.88)"
"Mason County, Kentucky","350.99 (327.64, 376.40)"
"McCracken County, Kentucky","354.04 (335.76, 372.83)"
"McCreary County, Kentucky","354.06 (329.03, 378.71)"
"McLean County, Kentucky","327.52 (300.38, 356.06)"
"Meade County, Kentucky","267.46 (247.76, 288.27)"
"Menifee County, Kentucky","343.58 (310.33, 377.38)"
"Mercer County, Kentucky","300.99 (281.17, 322.06)"
"Metcalfe County, Kentucky","371.04 (336.89, 404.31)"
"Monroe County, Kentucky","443.45 (407.93, 479.49)"
"Montgomery County, Kentucky","321.26 (297.88, 345.53)"
"Morgan County, Kentucky","291.11 (267.15, 316.67)"
"Muhlenberg County, Kentucky","334.03 (315.00, 354.06)"
"Nelson County, Kentucky","280.02 (262.50, 296.16)"
"Nicholas County, Kentucky","366.94 (334.94, 401.29)"
"Ohio County, Kentucky","312.78 (291.34, 334.66)"
"Oldham County, Kentucky","233.99 (217.92, 250.34)"
"Owen County, Kentucky","296.27 (270.97, 323.32)"
"Owsley County, Kentucky","476.41 (428.56, 526.24)"
"Pendleton County, Kentucky","324.77 (295.87, 354.71)"
"Perry County, Kentucky","494.52 (464.51, 527.91)"
"Pike County, Kentucky","392.24 (372.54, 412.29)"
"Powell County, Kentucky","399.43 (365.69, 431.28)"
"Pulaski County, Kentucky","308.54 (292.71, 324.47)"
"Robertson County, Kentucky","384.05 (331.49, 440.69)"
"Rockcastle County, Kentucky","364.73 (336.16, 394.44)"
"Rowan County, Kentucky","302.77 (279.21, 326.06)"
"Russell County, Kentucky","330.69 (307.86, 356.07)"
"Scott County, Kentucky","284.00 (266.23, 302.44)"
"Shelby County, Kentucky","339.98 (318.62, 362.27)"
"Simpson County, Kentucky","380.23 (352.09, 407.22)"
"Spencer County, Kentucky","279.37 (253.25, 305.98)"
"Taylor County, Kentucky","310.65 (287.99, 334.46)"
"Todd County, Kentucky","362.70 (334.24, 395.33)"
"Trigg County, Kentucky","284.54 (262.85, 308.32)"
"Trimble County, Kentucky","287.38 (259.04, 315.35)"
"Union County, Kentucky","329.64 (303.27, 356.08)"
"Warren County, Kentucky","273.98 (259.50, 289.02)"
"Washington County, Kentucky","265.19 (241.08, 288.54)"
"Wayne County, Kentucky","315.49 (295.05, 337.77)"
"Webster County, Kentucky","323.83 (298.55, 348.16)"
"Whitley County, Kentucky","423.34 (398.75, 449.40)"
"Wolfe County, Kentucky","444.65 (402.36, 484.23)"
"Woodford County, Kentucky","245.93 (226.48, 265.10)"
Louisiana,"309.31 (302.67, 316.24)"
"Acadia Parish, Louisiana","363.23 (342.96, 384.02)"
"Allen Parish, Louisiana","256.73 (239.33, 274.81)"
"Ascension Parish, Louisiana","293.34 (276.94, 310.68)"
"Assumption Parish, Louisiana","313.35 (290.48, 336.40)"
"Avoyelles Parish, Louisiana","383.28 (361.92, 404.62)"
"Beauregard Parish, Louisiana","387.95 (364.74, 412.82)"
"Bienville Parish, Louisiana","305.09 (283.41, 329.30)"
"Bossier Parish, Louisiana","270.25 (257.15, 283.74)"
"Caddo Parish, Louisiana","275.26 (264.61, 286.03)"
"Calcasieu Parish, Louisiana","387.47 (372.27, 402.42)"
"Caldwell Parish, Louisiana","349.79 (319.70, 379.40)"
"Cameron Parish, Louisiana","270.22 (245.66, 297.14)"
"Catahoula Parish, Louisiana","417.32 (384.31, 449.25)"
"Claiborne Parish, Louisiana","342.91 (317.88, 370.36)"
"Concordia Parish, Louisiana","353.88 (328.86, 378.77)"
"De Soto Parish, Louisiana","358.78 (334.98, 380.16)"
"East Baton Rouge Parish, Louisiana","303.39 (291.11, 315.14)"
"East Carroll Parish, Louisiana","369.47 (339.96, 400.73)"
"East Feliciana Parish, Louisiana","390.96 (364.29, 419.53)"
"Evangeline Parish, Louisiana","335.51 (315.14, 355.80)"
"Franklin Parish, Louisiana","545.23 (509.27, 584.24)"
"Grant Parish, Louisiana","335.70 (309.70, 362.76)"
"Iberia Parish, Louisiana","334.18 (315.37, 353.02)"
"Iberville Parish, Louisiana","303.35 (284.70, 320.92)"
"Jackson Parish, Louisiana","347.42 (323.96, 372.70)"
"Jefferson Davis Parish, Louisiana","384.47 (360.18, 407.28)"
"Jefferson Parish, Louisiana","270.19 (260.59, 280.07)"
"LaSalle Parish, Louisiana","383.27 (352.04, 414.84)"
"Lafayette Parish, Louisiana","279.67 (267.49, 292.47)"
"Lafourche Parish, Louisiana","280.26 (265.65, 296.43)"
"Lincoln Parish, Louisiana","210.52 (196.41, 224.42)"
"Livingston Parish, Louisiana","313.43 (298.04, 329.08)"
"Madison Parish, Louisiana","494.98 (460.51, 531.64)"
"Morehouse Parish, Louisiana","357.97 (335.90, 381.45)"
"Natchitoches Parish, Louisiana","346.06 (325.94, 366.87)"
"Orleans Parish, Louisiana","279.39 (268.87, 290.33)"
"Ouachita Parish, Louisiana","268.20 (256.79, 280.13)"
"Plaquemines Parish, Louisiana","284.00 (262.60, 305.95)"
"Pointe Coupee Parish, Louisiana","333.38 (312.44, 355.29)"
"Rapides Parish, Louisiana","348.31 (333.41, 365.25)"
"Red River Parish, Louisiana","366.18 (330.30, 400.91)"
"Richland Parish, Louisiana","387.50 (362.34, 412.56)"
"Sabine Parish, Louisiana","335.87 (315.28, 357.43)"
"Saint Bernard Parish, Louisiana","347.93 (327.59, 369.06)"
"Saint Charles Parish, Louisiana","278.98 (260.62, 295.40)"
"Saint Helena Parish, Louisiana","314.37 (286.75, 342.61)"
"Saint James Parish, Louisiana","288.73 (267.41, 310.87)"
"Saint John the Baptist Parish, Louisiana","367.99 (345.22, 392.41)"
"Saint Landry Parish, Louisiana","359.20 (340.77, 376.15)"
"Saint Martin Parish, Louisiana","314.92 (295.98, 333.71)"
"Saint Mary Parish, Louisiana","298.99 (282.40, 315.33)"
"Saint Tammany Parish, Louisiana","252.20 (241.11, 262.58)"
"Tangipahoa Parish, Louisiana","357.14 (340.14, 373.04)"
"Tensas Parish, Louisiana","424.23 (390.00, 462.76)"
"Terrebonne Parish, Louisiana","324.14 (307.43, 341.06)"
"Union Parish, Louisiana","317.69 (295.68, 341.21)"
"Vermilion Parish, Louisiana","354.51 (334.72, 375.13)"
"Vernon Parish, Louisiana","348.84 (327.39, 370.25)"
"Washington Parish, Louisiana","372.73 (353.68, 392.38)"
"Webster Parish, Louisiana","357.66 (336.50, 378.41)"
"West Baton Rouge Parish, Louisiana","283.88 (263.12, 306.15)"
"West Carroll Parish, Louisiana","341.56 (311.90, 369.02)"
"West Feliciana Parish, Louisiana","258.34 (236.42, 282.59)"
"Winn Parish, Louisiana","352.41 (326.43, 381.75)"
Maine,"217.46 (211.09, 223.63)"
"Androscoggin County, Maine","228.04 (217.05, 239.62)"
"Aroostook County, Maine","249.71 (237.37, 262.78)"
"Cumberland County, Maine","180.03 (171.95, 188.40)"
"Franklin County, Maine","220.72 (204.98, 236.34)"
"Hancock County, Maine","233.80 (220.46, 247.43)"
"Kennebec County, Maine","235.09 (223.99, 246.09)"
"Knox County, Maine","206.11 (192.73, 219.22)"
"Lincoln County, Maine","199.21 (187.74, 211.51)"
"Oxford County, Maine","209.17 (197.36, 221.05)"
"Penobscot County, Maine","247.79 (236.63, 258.53)"
"Piscataquis County, Maine","242.91 (224.84, 261.66)"
"Sagadahoc County, Maine","217.35 (202.84, 233.03)"
"Somerset County, Maine","248.32 (234.73, 262.02)"
"Waldo County, Maine","242.19 (227.03, 257.57)"
"Washington County, Maine","256.74 (241.26, 272.43)"
"York County, Maine","199.18 (189.95, 208.33)"
Maryland,"253.26 (247.21, 259.38)"
"Allegany County, Maryland","347.95 (331.40, 364.35)"
"Anne Arundel County, Maryland","252.66 (243.13, 262.28)"
"Baltimore City, Maryland","387.14 (375.71, 398.65)"
"Baltimore County, Maryland","251.39 (242.86, 259.72)"
"Calvert County, Maryland","261.01 (247.15, 274.15)"
"Caroline County, Maryland","291.34 (272.58, 309.68)"
"Carroll County, Maryland","267.56 (254.99, 279.66)"
"Cecil County, Maryland","299.17 (283.49, 314.38)"
"Charles County, Maryland","257.77 (245.34, 271.08)"
"Dorchester County, Maryland","299.73 (281.31, 317.37)"
"Frederick County, Maryland","246.27 (235.46, 257.21)"
"Garrett County, Maryland","289.25 (272.18, 307.04)"
"Harford County, Maryland","251.40 (239.96, 263.04)"
"Howard County, Maryland","185.03 (176.35, 194.50)"
"Kent County, Maryland","247.57 (230.52, 264.38)"
"Montgomery County, Maryland","204.62 (198.70, 210.88)"
"Prince George's County, Maryland","204.62 (198.70, 210.88)"
"Queen Anne's County, Maryland","220.40 (207.31, 234.82)"
"Saint Mary's County, Maryland","267.11 (253.45, 281.47)"
"Somerset County, Maryland","336.92 (313.46, 359.92)"
"Talbot County, Maryland","218.06 (205.59, 231.23)"
"Washington County, Maryland","289.63 (277.32, 302.50)"
"Wicomico County, Maryland","316.23 (300.33, 332.35)"
"Worcester County, Maryland","240.37 (227.76, 254.58)"
Massachusetts,"212.08 (205.82, 218.10)"
"Barnstable County, Massachusetts","207.04 (198.32, 216.08)"
"Berkshire County, Massachusetts","220.05 (209.47, 229.70)"
"Bristol County, Massachusetts","249.28 (240.54, 257.76)"
"Dukes County, Massachusetts","198.22 (181.58, 215.68)"
"Essex County, Massachusetts","208.36 (200.60, 216.39)"
"Franklin County, Massachusetts","214.81 (202.77, 226.75)"
"Hampden County, Massachusetts","232.93 (223.85, 241.97)"
"Hampshire County, Massachusetts","216.21 (205.20, 227.16)"
"Middlesex County, Massachusetts","189.71 (183.12, 196.35)"
"Nantucket County, Massachusetts","243.73 (212.63, 273.81)"
"Norfolk County, Massachusetts","200.22 (192.97, 208.28)"
"Plymouth County, Massachusetts","230.22 (221.29, 238.85)"
"Suffolk County, Massachusetts","196.32 (188.90, 203.59)"
"Worcester County, Massachusetts","226.94 (218.98, 235.86)"
Michigan,"288.82 (282.34, 295.03)"
"Alcona County, Michigan","276.54 (255.55, 295.86)"
"Alger County, Michigan","253.31 (234.00, 275.38)"
"Allegan County, Michigan","247.71 (235.44, 260.02)"
"Alpena County, Michigan","270.54 (253.18, 287.89)"
"Antrim County, Michigan","221.69 (206.34, 237.90)"
"Arenac County, Michigan","321.94 (300.49, 344.51)"
"Baraga County, Michigan","323.45 (296.25, 353.10)"
"Barry County, Michigan","256.04 (241.65, 270.93)"
"Bay County, Michigan","310.13 (296.56, 323.41)"
"Benzie County, Michigan","237.55 (221.61, 255.36)"
"Berrien County, Michigan","286.53 (273.45, 298.99)"
"Branch County, Michigan","284.86 (269.19, 301.33)"
"Calhoun County, Michigan","277.66 (265.36, 290.62)"
"Cass County, Michigan","263.77 (248.91, 279.69)"
"Charlevoix County, Michigan","227.55 (212.84, 244.93)"
"Cheboygan County, Michigan","248.22 (233.18, 263.21)"
"Chippewa County, Michigan","263.54 (247.90, 280.58)"
"Clare County, Michigan","336.57 (317.67, 356.26)"
"Clinton County, Michigan","236.76 (223.70, 250.26)"
"Crawford County, Michigan","267.35 (248.43, 286.03)"
"Delta County, Michigan","233.96 (220.25, 247.41)"
"Dickinson County, Michigan","271.88 (254.62, 289.56)"
"Eaton County, Michigan","252.95 (239.62, 266.92)"
"Emmet County, Michigan","234.64 (220.30, 250.61)"
"Genesee County, Michigan","333.08 (321.52, 344.18)"
"Gladwin County, Michigan","286.94 (271.26, 304.23)"
"Gogebic County, Michigan","303.09 (282.79, 323.40)"
"Grand Traverse County, Michigan","209.63 (198.00, 221.77)"
"Gratiot County, Michigan","336.60 (317.01, 356.10)"
"Hillsdale County, Michigan","300.07 (282.74, 316.78)"
"Houghton County, Michigan","299.65 (281.60, 317.67)"
"Huron County, Michigan","315.32 (297.86, 331.78)"
"Ingham County, Michigan","274.47 (262.56, 286.04)"
"Ionia County, Michigan","263.64 (249.00, 279.13)"
"Iosco County, Michigan","301.53 (283.60, 319.03)"
"Iron County, Michigan","305.84 (286.19, 324.88)"
"Isabella County, Michigan","274.92 (258.27, 290.79)"
"Jackson County, Michigan","279.06 (266.93, 290.99)"
"Kalamazoo County, Michigan","237.86 (228.33, 247.68)"
"Kalkaska County, Michigan","279.88 (260.43, 299.95)"
"Kent County, Michigan","248.06 (238.93, 257.37)"
"Keweenaw County, Michigan","222.24 (197.23, 249.32)"
"Lake County, Michigan","306.89 (286.19, 328.60)"
"Lapeer County, Michigan","304.30 (289.34, 318.68)"
"Leelanau County, Michigan","162.98 (152.04, 175.02)"
"Lenawee County, Michigan","289.19 (276.01, 303.41)"
"Livingston County, Michigan","260.34 (248.74, 272.16)"
"Luce County, Michigan","251.32 (227.53, 273.47)"
"Mackinac County, Michigan","253.82 (234.83, 275.62)"
"Macomb County, Michigan","305.38 (296.10, 314.35)"
"Manistee County, Michigan","264.06 (248.40, 281.43)"
"Marquette County, Michigan","267.02 (252.87, 282.01)"
"Mason County, Michigan","253.59 (238.12, 269.49)"
"Mecosta County, Michigan","279.82 (264.02, 296.63)"
"Menominee County, Michigan","259.37 (242.87, 275.40)"
"Midland County, Michigan","220.46 (209.09, 232.30)"
"Missaukee County, Michigan","274.15 (252.78, 294.60)"
"Monroe County, Michigan","296.71 (283.87, 310.82)"
"Montcalm County, Michigan","293.93 (279.25, 309.19)"
"Montmorency County, Michigan","290.01 (268.76, 312.33)"
"Muskegon County, Michigan","270.05 (258.62, 282.25)"
"Newaygo County, Michigan","251.67 (238.42, 266.00)"
"Oakland County, Michigan","267.51 (259.17, 275.38)"
"Oceana County, Michigan","268.98 (251.53, 286.99)"
"Ogemaw County, Michigan","351.39 (330.74, 373.39)"
"Ontonagon County, Michigan","332.65 (304.95, 360.68)"
"Osceola County, Michigan","292.99 (273.49, 312.18)"
"Oscoda County, Michigan","309.79 (284.08, 334.20)"
"Otsego County, Michigan","228.01 (213.17, 243.87)"
"Ottawa County, Michigan","205.23 (195.45, 215.54)"
"Presque Isle County, Michigan","232.08 (214.90, 249.10)"
"Roscommon County, Michigan","309.48 (291.28, 327.55)"
"Saginaw County, Michigan","270.71 (259.44, 282.28)"
"Saint Clair County, Michigan","319.61 (306.99, 333.42)"
"Saint Joseph County, Michigan","327.64 (310.58, 345.70)"
"Sanilac County, Michigan","295.56 (279.46, 311.60)"
"Schoolcraft County, Michigan","251.43 (231.41, 272.76)"
"Shiawassee County, Michigan","287.62 (272.75, 303.64)"
"Tuscola County, Michigan","283.51 (268.92, 298.07)"
"Van Buren County, Michigan","277.78 (262.79, 291.97)"
"Washtenaw County, Michigan","224.68 (214.91, 234.56)"
"Wayne County, Michigan","364.97 (356.21, 373.26)"
"Wexford County, Michigan","266.94 (250.40, 284.48)"
Minnesota,"188.18 (182.60, 193.82)"
"Aitkin County, Minnesota","198.87 (184.62, 213.51)"
"Anoka County, Minnesota","159.31 (151.67, 166.73)"
"Becker County, Minnesota","222.70 (208.55, 236.41)"
"Beltrami County, Minnesota","209.95 (196.42, 223.54)"
"Benton County, Minnesota","243.49 (227.46, 260.94)"
"Big Stone County, Minnesota","268.66 (246.26, 291.92)"
"Blue Earth County, Minnesota","187.59 (176.15, 199.74)"
"Brown County, Minnesota","198.31 (185.71, 211.53)"
"Carlton County, Minnesota","254.28 (236.92, 270.20)"
"Carver County, Minnesota","158.63 (148.91, 169.52)"
"Cass County, Minnesota","215.31 (202.46, 228.81)"
"Chippewa County, Minnesota","195.89 (179.56, 211.86)"
"Chisago County, Minnesota","183.25 (172.12, 195.58)"
"Clay County, Minnesota","199.94 (188.10, 212.84)"
"Clearwater County, Minnesota","270.02 (247.16, 292.90)"
"Cook County, Minnesota","153.94 (136.55, 172.02)"
"Cottonwood County, Minnesota","217.36 (201.87, 234.04)"
"Crow Wing County, Minnesota","193.62 (182.61, 204.58)"
"Dakota County, Minnesota","163.66 (156.46, 171.70)"
"Dodge County, Minnesota","198.25 (182.78, 214.83)"
"Douglas County, Minnesota","209.40 (196.60, 222.71)"
"Faribault County, Minnesota","222.07 (206.98, 236.73)"
"Fillmore County, Minnesota","214.17 (200.69, 228.37)"
"Freeborn County, Minnesota","217.27 (203.89, 231.02)"
"Goodhue County, Minnesota","208.96 (197.16, 221.71)"
"Grant County, Minnesota","251.53 (229.21, 274.61)"
"Hennepin County, Minnesota","167.58 (161.35, 173.77)"
"Houston County, Minnesota","176.98 (164.35, 189.79)"
"Hubbard County, Minnesota","179.72 (167.35, 192.22)"
"Isanti County, Minnesota","194.77 (181.86, 208.12)"
"Itasca County, Minnesota","225.11 (213.22, 238.88)"
"Jackson County, Minnesota","199.95 (182.98, 216.29)"
"Kanabec County, Minnesota","203.42 (187.29, 220.88)"
"Kandiyohi County, Minnesota","196.36 (184.09, 209.35)"
"Kittson County, Minnesota","274.19 (247.35, 303.19)"
"Koochiching County, Minnesota","213.59 (197.44, 230.89)"
"Lac qui Parle County, Minnesota","205.44 (188.35, 223.00)"
"Lake County, Minnesota","187.48 (171.53, 203.65)"
"Lake of the Woods County, Minnesota","215.63 (191.29, 242.30)"
"Le Sueur County, Minnesota","205.26 (191.67, 219.60)"
"Lincoln County, Minnesota","215.14 (196.29, 233.94)"
"Lyon County, Minnesota","212.42 (197.01, 227.42)"
"Mahnomen County, Minnesota","229.81 (207.72, 255.03)"
"Marshall County, Minnesota","194.34 (178.32, 211.23)"
"Martin County, Minnesota","219.98 (205.14, 235.33)"
"McLeod County, Minnesota","208.69 (194.37, 222.22)"
"Meeker County, Minnesota","204.32 (190.13, 219.59)"
"Mille Lacs County, Minnesota","224.32 (209.19, 238.56)"
"Morrison County, Minnesota","215.01 (200.73, 228.22)"
"Mower County, Minnesota","177.83 (167.26, 188.24)"
"Murray County, Minnesota","200.46 (184.25, 216.88)"
"Nicollet County, Minnesota","174.51 (161.98, 187.31)"
"Nobles County, Minnesota","194.85 (182.55, 208.20)"
"Norman County, Minnesota","231.44 (211.49, 251.45)"
"Olmsted County, Minnesota","163.22 (154.70, 172.90)"
"Otter Tail County, Minnesota","218.06 (205.84, 230.87)"
"Pennington County, Minnesota","231.53 (213.58, 249.69)"
"Pine County, Minnesota","206.98 (194.56, 220.75)"
"Pipestone County, Minnesota","209.28 (193.84, 225.02)"
"Polk County, Minnesota","230.28 (214.81, 244.77)"
"Pope County, Minnesota","232.88 (215.64, 250.60)"
"Ramsey County, Minnesota","191.65 (184.26, 199.91)"
"Red Lake County, Minnesota","243.46 (215.58, 273.88)"
"Redwood County, Minnesota","216.42 (201.85, 232.37)"
"Renville County, Minnesota","225.99 (210.68, 242.65)"
"Rice County, Minnesota","187.51 (176.78, 198.79)"
"Rock County, Minnesota","236.23 (218.10, 256.83)"
"Roseau County, Minnesota","223.17 (204.80, 242.50)"
"Saint Louis County, Minnesota","215.65 (206.04, 224.95)"
"Scott County, Minnesota","184.85 (174.54, 195.60)"
"Sherburne County, Minnesota","188.63 (177.22, 199.95)"
"Sibley County, Minnesota","229.83 (213.97, 245.77)"
"Stearns County, Minnesota","171.60 (163.11, 180.40)"
"Steele County, Minnesota","196.68 (182.89, 209.97)"
"Stevens County, Minnesota","187.41 (170.96, 203.69)"
"Swift County, Minnesota","221.56 (204.64, 240.04)"
"Todd County, Minnesota","188.27 (175.87, 200.98)"
"Traverse County, Minnesota","234.25 (214.40, 256.42)"
"Wabasha County, Minnesota","192.07 (178.84, 205.89)"
"Wadena County, Minnesota","252.35 (232.77, 272.08)"
"Waseca County, Minnesota","211.58 (196.06, 226.80)"
"Washington County, Minnesota","161.26 (153.45, 170.27)"
"Watonwan County, Minnesota","226.66 (209.37, 245.39)"
"Wilkin County, Minnesota","294.02 (268.72, 320.85)"
"Winona County, Minnesota","205.22 (193.43, 217.75)"
"Wright County, Minnesota","183.75 (174.44, 193.99)"
"Yellow Medicine County, Minnesota","207.44 (191.11, 224.92)"
Mississippi,"347.92 (341.05, 354.71)"
"Adams County, Mississippi","362.31 (338.87, 385.75)"
"Alcorn County, Mississippi","387.71 (365.21, 411.17)"
"Amite County, Mississippi","296.51 (273.25, 322.30)"
"Attala County, Mississippi","359.96 (336.83, 382.77)"
"Benton County, Mississippi","393.34 (361.54, 427.31)"
"Bolivar County, Mississippi","443.39 (418.38, 469.83)"
"Calhoun County, Mississippi","384.44 (356.31, 411.62)"
"Carroll County, Mississippi","311.82 (286.62, 338.04)"
"Chickasaw County, Mississippi","334.48 (311.08, 359.14)"
"Choctaw County, Mississippi","304.67 (275.85, 332.90)"
"Claiborne County, Mississippi","468.23 (430.30, 507.01)"
"Clarke County, Mississippi","364.12 (339.16, 390.15)"
"Clay County, Mississippi","369.21 (344.62, 395.28)"
"Coahoma County, Mississippi","410.58 (385.75, 435.90)"
"Copiah County, Mississippi","351.42 (329.07, 373.43)"
"Covington County, Mississippi","393.60 (364.81, 423.12)"
"DeSoto County, Mississippi","305.59 (291.40, 320.16)"
"Forrest County, Mississippi","336.02 (317.49, 354.77)"
"Franklin County, Mississippi","398.04 (363.56, 435.43)"
"George County, Mississippi","368.34 (342.37, 395.14)"
"Greene County, Mississippi","388.88 (354.19, 422.85)"
"Grenada County, Mississippi","397.93 (372.86, 424.86)"
"Hancock County, Mississippi","287.13 (268.55, 305.46)"
"Harrison County, Mississippi","369.66 (355.90, 385.67)"
"Hinds County, Mississippi","330.71 (317.65, 344.62)"
"Holmes County, Mississippi","428.92 (401.53, 458.65)"
"Humphreys County, Mississippi","418.72 (385.10, 452.57)"
"Issaquena County, Mississippi","260.95 (226.27, 298.94)"
"Itawamba County, Mississippi","371.26 (347.37, 397.15)"
"Jackson County, Mississippi","316.43 (301.71, 331.13)"
"Jasper County, Mississippi","380.46 (355.37, 406.72)"
"Jefferson County, Mississippi","383.30 (348.68, 416.91)"
"Jefferson Davis County, Mississippi","341.75 (316.00, 369.69)"
"Jones County, Mississippi","337.71 (320.88, 358.40)"
"Kemper County, Mississippi","314.65 (290.28, 341.00)"
"Lafayette County, Mississippi","288.80 (271.84, 307.04)"
"Lamar County, Mississippi","289.21 (271.84, 308.04)"
"Lauderdale County, Mississippi","337.73 (320.88, 354.30)"
"Lawrence County, Mississippi","393.39 (366.13, 421.25)"
"Leake County, Mississippi","380.81 (356.09, 406.15)"
"Lee County, Mississippi","339.14 (322.28, 356.40)"
"Leflore County, Mississippi","466.06 (439.57, 494.22)"
"Lincoln County, Mississippi","344.54 (324.12, 366.57)"
"Lowndes County, Mississippi","286.42 (269.92, 303.25)"
"Madison County, Mississippi","326.85 (311.37, 343.57)"
"Marion County, Mississippi","374.61 (349.71, 400.44)"
"Marshall County, Mississippi","385.31 (364.35, 408.26)"
"Monroe County, Mississippi","315.87 (296.90, 335.10)"
"Montgomery County, Mississippi","376.71 (345.44, 406.63)"
