Location,"Mortality Rate, 2014*"
"Newton County, Arkansas","297.97 (270.93, 325.20)"
"Ouachita County, Arkansas","410.84 (386.74, 434.58)"
"Perry County, Arkansas","313.19 (286.73, 340.19)"
"Phillips County, Arkansas","435.85 (411.08, 461.69)"
"Pike County, Arkansas","340.81 (311.05, 369.40)"
"Poinsett County, Arkansas","438.59 (410.49, 469.93)"
"Polk County, Arkansas","344.58 (322.55, 367.84)"
"Pope County, Arkansas","307.83 (291.18, 324.28)"
"Prairie County, Arkansas","316.29 (290.00, 344.65)"
"Pulaski County, Arkansas","291.77 (281.10, 302.41)"
"Randolph County, Arkansas","317.12 (296.24, 338.98)"
"Saint Francis County, Arkansas","420.89 (392.59, 449.46)"
"Saline County, Arkansas","253.82 (240.82, 267.23)"
"Scott County, Arkansas","380.01 (351.83, 409.00)"
"Searcy County, Arkansas","339.18 (309.52, 368.40)"
"Sebastian County, Arkansas","328.73 (313.95, 343.22)"
"Sevier County, Arkansas","346.77 (319.39, 373.23)"
"Sharp County, Arkansas","336.20 (313.19, 360.05)"
"Stone County, Arkansas","284.91 (261.90, 308.01)"
"Union County, Arkansas","334.82 (317.65, 353.80)"
"Van Buren County, Arkansas","280.88 (260.04, 302.83)"
"Washington County, Arkansas","287.78 (273.62, 300.53)"
"White County, Arkansas","350.95 (333.27, 369.62)"
"Woodruff County, Arkansas","444.31 (406.01, 483.77)"
"Yell County, Arkansas","380.11 (353.92, 405.01)"
California,"221.94 (216.95, 227.11)"
"Alameda County, California","196.59 (190.56, 202.56)"
"Alpine County, California","250.25 (216.48, 289.58)"
"Amador County, California","251.52 (236.84, 267.03)"
"Butte County, California","260.05 (248.64, 270.97)"
"Calaveras County, California","243.57 (230.31, 256.64)"
"Colusa County, California","220.23 (203.34, 236.85)"
"Contra Costa County, California","201.18 (194.15, 208.34)"
"Del Norte County, California","288.05 (270.11, 305.98)"
"El Dorado County, California","203.73 (194.05, 213.29)"
"Fresno County, California","275.94 (267.41, 285.01)"
"Glenn County, California","239.30 (222.60, 256.28)"
"Humboldt County, California","273.67 (261.23, 286.90)"
"Imperial County, California","223.35 (212.90, 234.01)"
"Inyo County, California","275.32 (258.17, 293.54)"
"Kern County, California","311.74 (301.85, 322.18)"
"Kings County, California","250.11 (237.60, 262.73)"
"Lake County, California","306.09 (290.18, 322.12)"
"Lassen County, California","259.72 (241.70, 276.89)"
"Los Angeles County, California","218.78 (213.46, 224.10)"
"Madera County, California","254.85 (241.88, 267.69)"
"Marin County, California","160.51 (153.04, 167.82)"
"Mariposa County, California","224.11 (207.25, 240.85)"
"Mendocino County, California","254.66 (243.02, 267.13)"
"Merced County, California","261.71 (250.23, 272.59)"
"Modoc County, California","267.34 (247.30, 288.25)"
"Mono County, California","163.24 (148.36, 179.62)"
"Monterey County, California","196.14 (188.54, 204.54)"
"Napa County, California","227.73 (216.38, 240.51)"
"Nevada County, California","202.01 (191.84, 212.08)"
"Orange County, California","205.80 (199.64, 211.98)"
"Placer County, California","203.33 (194.96, 211.72)"
"Plumas County, California","244.89 (229.06, 262.32)"
"Riverside County, California","237.61 (230.72, 244.42)"
"Sacramento County, California","251.78 (243.74, 259.50)"
"San Benito County, California","204.17 (191.24, 217.49)"
"San Bernardino County, California","269.75 (262.41, 277.23)"
"San Diego County, California","206.00 (199.63, 212.02)"
"San Francisco County, California","179.77 (173.86, 185.96)"
"San Joaquin County, California","274.72 (265.73, 284.57)"
"San Luis Obispo County, California","227.44 (218.16, 237.12)"
"San Mateo County, California","175.52 (168.76, 181.74)"
"Santa Barbara County, California","214.75 (206.90, 223.22)"
"Santa Clara County, California","170.28 (164.45, 176.11)"
"Santa Cruz County, California","213.49 (203.59, 223.96)"
"Shasta County, California","290.95 (279.37, 303.14)"
"Sierra County, California","226.50 (202.91, 252.19)"
"Siskiyou County, California","254.47 (241.42, 267.98)"
"Solano County, California","206.95 (199.23, 214.90)"
"Sonoma County, California","220.22 (211.88, 228.38)"
"Stanislaus County, California","297.84 (287.88, 308.16)"
"Sutter County, California","272.94 (259.99, 286.13)"
"Tehama County, California","258.93 (244.95, 272.51)"
"Trinity County, California","236.40 (217.91, 254.96)"
"Tulare County, California","292.11 (281.23, 303.24)"
"Tuolumne County, California","242.95 (229.71, 256.79)"
"Ventura County, California","204.92 (197.34, 212.15)"
"Yolo County, California","204.77 (195.58, 213.85)"
"Yuba County, California","331.62 (313.92, 349.18)"
Colorado,"209.52 (203.89, 215.40)"
"Adams County, Colorado","210.76 (204.08, 216.85)"
"Alamosa County, Colorado","256.52 (235.76, 280.13)"
"Arapahoe County, Colorado","210.76 (204.08, 216.85)"
"Archuleta County, Colorado","149.80 (136.27, 163.32)"
"Baca County, Colorado","281.98 (255.78, 309.30)"
"Bent County, Colorado","248.74 (226.41, 273.58)"
"Boulder County, Colorado","210.76 (204.08, 216.85)"
"Broomfield County, Colorado","210.76 (204.08, 216.85)"
"Chaffee County, Colorado","191.33 (176.55, 205.47)"
"Cheyenne County, Colorado","213.69 (188.13, 240.79)"
