State,County,"County diagnosed diabetes prevalence for total population, 30+yrs, 2008 (%)",,,
FL,Baker,13.0,,,
FL,Bay,10.0,,,
FL,Bradford,13.6,,,
FL,Brevard,9.4,,,
FL,Broward,9.3,,,
FL,Calhoun,12.8,,,
FL,Charlotte,9.0,,,
FL,Citrus,9.7,,,
FL,Clay,10.3,,,
FL,Collier,7.8,,,
FL,Columbia,11.8,,,
FL,DeSoto,11.8,,,
FL,Dixie,12.0,,,
FL,Duval,11.4,,,
FL,Escambia,10.5,,,
FL,Flagler,9.2,,,
FL,Franklin,11.0,,,
FL,Gadsden,14.7,,,
FL,Gilchrist,10.9,,,
FL,Glades,11.6,,,
FL,Gulf,11.4,,,
FL,Hamilton,14.5,,,
FL,Hardee,13.6,,,
FL,Hendry,11.7,,,
FL,Hernando,9.6,,,
FL,Highlands,11.1,,,
FL,Hillsborough,10.2,,,
FL,Holmes,11.1,,,
FL,Indian River,8.8,,,
FL,Jackson,12.9,,,
FL,Jefferson,12.7,,,
FL,Lafayette,12.2,,,
FL,Lake,9.7,,,
FL,Lee,8.9,,,
FL,Leon,9.0,,,
FL,Levy,11.1,,,
FL,Liberty,12.9,,,
FL,Madison,13.6,,,
FL,Manatee,8.9,,,
FL,Marion,10.8,,,
FL,Martin,7.7,,,
FL,Miami-Dade,11.1,,,
FL,Monroe,8.1,,,
FL,Nassau,10.1,,,
FL,Okaloosa,9.4,,,
FL,Okeechobee,11.5,,,
FL,Orange,10.5,,,
FL,Osceola,11.1,,,
FL,Palm Beach,8.7,,,
FL,Pasco,9.8,,,
FL,Pinellas,9.0,,,
FL,Polk,10.7,,,
FL,Putnam,12.6,,,
FL,St. Johns,8.0,,,
FL,St. Lucie,9.8,,,
FL,Santa Rosa,9.2,,,
FL,Sarasota,7.3,,,
FL,Seminole,8.8,,,
FL,Sumter,10.5,,,
FL,Suwannee,11.1,,,
FL,Taylor,12.3,,,
FL,Union,14.7,,,
FL,Volusia,10.0,,,
FL,Wakulla,10.5,,,
FL,Walton,10.1,,,
FL,Washington,11.8,,,
GA,Georgia*,11.7,,,
GA,Appling,12.8,,,
GA,Atkinson,13.6,,,
GA,Bacon,12.3,,,
GA,Baker,16.1,,,
GA,Baldwin,13.3,,,
GA,Banks,11.5,,,
GA,Barrow,11.4,,,
GA,Bartow,10.8,,,
GA,Ben Hill,13.5,,,
GA,Berrien,12.1,,,
GA,Bibb,12.8,,,
GA,Bleckley,12.5,,,
GA,Brantley,12.1,,,
GA,Brooks,13.9,,,
GA,Bryan,10.7,,,
GA,Bulloch,11.9,,,
GA,Burke,15.0,,,
GA,Butts,13.0,,,
GA,Calhoun,16.9,,,
GA,Camden,12.0,,,
GA,Candler,13.2,,,
GA,Carroll,11.3,,,
GA,Catoosa,10.6,,,
GA,Charlton,14.0,,,
GA,Chatham,12.3,,,
GA,Chattahoochee,11.9,,,
GA,Chattooga,12.2,,,
GA,Cherokee,8.1,,,
GA,Clarke,11.5,,,
GA,Clay,16.7,,,
GA,Clayton,12.7,,,
GA,Clinch,13.9,,,
GA,Cobb,8.1,,,
GA,Coffee,13.3,,,
GA,Colquitt,12.1,,,
GA,Columbia,8.3,,,
GA,Cook,12.8,,,
GA,Coweta,10.3,,,
GA,Crawford,13.5,,,
GA,Crisp,13.4,,,
GA,Dade,10.5,,,
GA,Dawson,9.1,,,
GA,Decatur,13.6,,,
GA,DeKalb,10.7,,,
GA,Dodge,13.8,,,
GA,Dooly,15.3,,,
GA,Dougherty,14.7,,,
GA,Douglas,10.8,,,
GA,Early,14.3,,,
GA,Echols,12.5,,,
GA,Effingham,11.5,,,
GA,Elbert,13.1,,,
GA,Emanuel,14.4,,,
GA,Evans,13.7,,,
GA,Fannin,10.4,,,
GA,Fayette,7.7,,,
GA,Floyd,10.9,,,
GA,Forsyth,7.3,,,
GA,Franklin,11.2,,,
GA,Fulton,9.6,,,
GA,Gilmer,10.1,,,
GA,Glascock,11.6,,,
GA,Glynn,10.8,,,
GA,Gordon,10.5,,,
GA,Grady,12.8,,,
GA,Greene,12.4,,,
GA,Gwinnett,8.7,,,
GA,Habersham,10.2,,,
GA,Hall,10.2,,,
GA,Hancock,17.8,,,
GA,Haralson,11.3,,,
GA,Harris,10.9,,,
GA,Hart,11.9,,,
GA,Heard,12.6,,,
GA,Henry,10.2,,,
GA,Houston,11.9,,,
GA,Irwin,14.4,,,
GA,Jackson,11.2,,,
GA,Jasper,12.5,,,
GA,Jeff Davis,12.3,,,
GA,Jefferson,15.4,,,
GA,Jenkins,14.5,,,
GA,Johnson,15.3,,,
GA,Jones,11.9,,,
GA,Lamar,12.7,,,
GA,Lanier,13.1,,,
GA,Laurens,13.2,,,
GA,Lee,10.9,,,
GA,Liberty,14.5,,,
GA,Lincoln,13.2,,,
GA,Long,14.3,,,
GA,Lowndes,12.5,,,
GA,Lumpkin,9.9,,,
GA,McDuffie,12.9,,,
GA,McIntosh,14.3,,,
GA,Macon,16.4,,,
GA,Madison,11.0,,,
GA,Marion,14.7,,,
GA,Meriwether,14.3,,,
GA,Miller,11.5,,,
GA,Mitchell,14.5,,,
GA,Monroe,11.5,,,
GA,Montgomery,13.0,,,
GA,Morgan,11.2,,,
GA,Murray,11.5,,,
GA,Muscogee,12.6,,,
GA,Newton,11.9,,,
GA,Oconee,7.7,,,
GA,Oglethorpe,11.6,,,
GA,Paulding,10.7,,,
GA,Peach,13.9,,,
GA,Pickens,9.8,,,
GA,Pierce,10.9,,,
GA,Pike,11.2,,,
GA,Polk,12.8,,,
GA,Pulaski,12.5,,,
GA,Putnam,12.0,,,
GA,Quitman,15.5,,,
GA,Rabun,9.7,,,
GA,Randolph,16.3,,,
GA,Richmond,13.6,,,
GA,Rockdale,10.4,,,
GA,Schley,13.5,,,
GA,Screven,14.3,,,
GA,Seminole,12.8,,,
GA,Spalding,12.6,,,
GA,Stephens,11.2,,,
GA,Stewart,16.4,,,
GA,Sumter,13.6,,,
GA,Talbot,17.5,,,
GA,Taliaferro,17.3,,,
GA,Tattnall,13.8,,,
GA,Taylor,15.0,,,
GA,Telfair,15.1,,,
GA,Terrell,17.2,,,
GA,Thomas,12.4,,,
GA,Tift,13.0,,,
GA,Toombs,12.7,,,
GA,Towns,9.0,,,
GA,Treutlen,14.6,,,
GA,Troup,12.3,,,
GA,Turner,14.1,,,
GA,Twiggs,16.0,,,
GA,Union,9.6,,,
GA,Upson,12.4,,,
GA,Walker,11.4,,,
GA,Walton,11.5,,,
GA,Ware,13.0,,,
